"name","category","price","sku","barcode","stock_quantity","low_stock_threshold","description","image","active","popular","send_to_k","cost"
"Paracetamol 500mg","Prescription Medicines","52.30","CAF-PRM-001","9000000000001","23","6","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","31.90"
"Ibuprofen 200mg","Over-the-Counter","69.60","CAF-OTC-002","9000000000002","26","7","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","44.54"
"Cetirizine 10mg","Vitamins & Supplements","86.90","CAF-VIT-003","9000000000003","29","8","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","58.22"
"Loratadine 10mg","First Aid","104.20","CAF-FAD-004","9000000000004","32","9","Fast-moving first aid item for daily pharmacy sales","","true","true","true","72.94"
"Amoxicillin 500mg","Personal Care","121.50","CAF-PCR-005","9000000000005","35","10","Fast-moving personal care item for daily pharmacy sales","","true","false","true","88.70"
"Azithromycin 500mg","Baby Care","138.80","CAF-BBC-006","9000000000006","38","11","Fast-moving baby care item for daily pharmacy sales","","true","false","true","105.49"
"Omeprazole 20mg","Medical Devices","156.10","CAF-MDS-007","9000000000007","41","12","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","90.54"
"Pantoprazole 40mg","Skin Care","173.40","CAF-SKN-008","9000000000008","44","13","Fast-moving skin care item for daily pharmacy sales","","true","true","true","105.77"
"Metformin 500mg","Prescription Medicines","190.70","CAF-PRM-009","9000000000009","47","14","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","122.05"
"Amlodipine 5mg","Over-the-Counter","208.00","CAF-OTC-010","9000000000010","50","15","Fast-moving over-the-counter item for daily pharmacy sales","","true","false","true","139.36"
"Losartan 50mg","Vitamins & Supplements","225.30","CAF-VIT-011","9000000000011","53","16","Fast-moving vitamins & supplements item for daily pharmacy sales","","true","false","true","157.71"
"Atorvastatin 20mg","First Aid","242.60","CAF-FAD-012","9000000000012","56","17","Fast-moving first aid item for daily pharmacy sales","","true","true","true","177.10"
"Vitamin C 500mg","Personal Care","259.90","CAF-PCR-013","9000000000013","59","18","Fast-moving personal care item for daily pharmacy sales","","true","false","true","197.52"
"Vitamin B Complex","Baby Care","277.20","CAF-BBC-014","9000000000014","62","19","Fast-moving baby care item for daily pharmacy sales","","true","false","true","160.78"
"Multivitamins","Medical Devices","294.50","CAF-MDS-015","9000000000015","65","20","Fast-moving medical devices item for daily pharmacy sales","","true","false","true","179.64"
"Fish Oil 1000mg","Skin Care","311.80","CAF-SKN-016","9000000000016","68","5","Fast-moving skin care item for daily pharmacy sales","","true","true","true","199.55"
"Calcium + D3","Prescription Medicines","329.10","CAF-PRM-017","9000000000017","71","6","Fast-moving prescription medicines item for daily pharmacy sales","","true","false","false","220.50"
