"name","category","price","sku","barcode","stock_quantity","low_stock_threshold","description","image","active","popular","send_to_k","cost"
"Mineral Water Small","Beverages","25.70","CAF-BEV-001","4800000000001","22","6","Fast-selling beverages for sari-sari daily operations","","true","false","true","17.22"
"Cola Softdrink Regular","Snacks","39.40","CAF-SNK-002","4800000000002","29","7","Fast-selling snacks for sari-sari daily operations","","true","false","true","27.97"
"Orange Juice Drink Large","Instant Noodles","53.10","CAF-NOD-003","4800000000003","36","8","Fast-selling instant noodles for sari-sari daily operations","","true","true","false","39.83"
"Iced Tea Lemon Family Pack","Canned Goods","66.80","CAF-CND-004","4800000000004","43","9","Fast-selling canned goods for sari-sari daily operations","","true","false","false","52.77"
"Coffee 3in1 Small","Condiments","80.50","CAF-CDM-005","4800000000005","50","10","Fast-selling condiments for sari-sari daily operations","","true","false","false","50.72"
"Energy Drink Regular","Household Supplies","94.20","CAF-HHS-006","4800000000006","57","11","Fast-selling household supplies for sari-sari daily operations","","true","true","false","63.11"
"Chocolate Milk Large","Personal Care","107.90","CAF-PCR-007","4800000000007","64","12","Fast-selling personal care for sari-sari daily operations","","true","false","false","76.61"
"Malted Drink Family Pack","Bread and Bakery","121.60","CAF-BRD-008","4800000000008","71","13","Fast-selling bread and bakery for sari-sari daily operations","","true","false","false","91.20"
"Soda Water Small","Dairy and Chilled","135.30","CAF-DRY-009","4800000000009","78","14","Fast-selling dairy and chilled for sari-sari daily operations","","true","true","false","106.89"
"Fruit Soda Regular","School and Office","149.00","CAF-SCH-010","4800000000010","85","15","Fast-selling school and office for sari-sari daily operations","","true","false","false","93.87"
"Potato Chips Large","Beverages","162.70","CAF-BEV-011","4800000000011","92","16","Fast-selling beverages for sari-sari daily operations","","true","false","true","109.01"
"Corn Chips Family Pack","Snacks","176.40","CAF-SNK-012","4800000000012","99","5","Fast-selling snacks for sari-sari daily operations","","true","true","true","125.24"
"Salted Crackers Small","Instant Noodles","190.10","CAF-NOD-013","4800000000013","106","6","Fast-selling instant noodles for sari-sari daily operations","","true","false","false","142.57"
"Chocolate Wafer Regular","Canned Goods","203.80","CAF-CND-014","4800000000014","113","7","Fast-selling canned goods for sari-sari daily operations","","true","false","false","161.00"
"Peanut Snack Large","Condiments","217.50","CAF-CDM-015","4800000000015","120","8","Fast-selling condiments for sari-sari daily operations","","true","true","false","137.02"
